Название банка,Год,Квартал,Инфляция,Темп прироста ВВП,Ключевая ставка,Норматив достаточности капитала (Н1),Доля просроченных кредитов (NPL%),Рентабельность активов (ROA%),Коэффициент ликвидности (Н3%),Размер банка (лог активов),Доля банка в активах системы,Темп роста кредитного портфеля (YoY),"Loan-to-Deposit Ratio (LDR, %)",Доля межбанковских заимствований в пассивах (%),Прирост прибыли банка (YoY),Тип собственности банка,Этап экономического цикла,Дефолт
Банк 4,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 4,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 5,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 5,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 5,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 5,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 6,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 6,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 6,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 6,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 7,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 7,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 7,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 7,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 8,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 8,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 8,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 8,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 9,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 9,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 9,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 9,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 10,2007,1,8.2,-9.359373784510982,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 10,2007,2,7.61,14.561383898598601,3.3,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 10,2007,3,7.37,14.614921411716676,3.5,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
Банк 10,2007,4,7.6,10.045296058572362,5.7,None,None,None,None,None,None,None,None,None,None,Частный,Пик,0
